广东频道,#genre#
CCTV-4,http://115.60.241.249:2000/rtp/225.1.5.30:1333
CCTV-4,http://115.60.241.249:2000/rtp/225.1.4.4:1033
CCTV-4,http://115.60.241.249:2000/rtp/225.1.5.31:1342
CCTV-4,http://118.81.48.104:8082/rtp/226.0.2.156:9160
CCTV-4,http://118.81.48.104:8082/rtp/226.0.2.21:8080
CCTV-4,http://27.10.76.34:8001/rtp/225.0.4.176:7980
CCTV-4,http://27.10.76.34:8006/rtp/225.0.4.176:7980
CCTV-4,http://27.10.74.78:8005/rtp/225.0.4.176:7980
CCTV-4,http://111.165.222.109:8000/rtp/225.1.1.150:5002
CCTV-4,http://171.105.201.164:4022/rtp/239.81.0.16:4056
CCTV-4,http://171.213.133.3:9999/rtp/239.93.1.105:5140
CCTV-4,http://114.246.102.14:4000/rtp/239.3.1.105:8092
CCTV-5,http://60.7.56.33:4000/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://sweetown.fun:4000/rtp/239.3.1.173:8001$1920x1080
CCTV-5,http://111.193.230.4:4022/rtp/239.3.1.173:8001
CCTV-5,http://115.60.241.249:2000/rtp/225.1.4.159:1195
CCTV-5,http://118.81.48.104:8082/rtp/226.0.2.209:9584
CCTV-5,http://118.81.48.104:8082/rtp/226.0.2.22:8088
CCTV-5,http://27.10.76.34:8001/rtp/225.0.4.143:7980
CCTV-5,http://27.10.76.34:8006/rtp/225.0.4.143:7980
CCTV-5,http://27.10.74.78:8005/rtp/225.0.4.143:7980
CCTV-5,http://111.165.222.109:8000/rtp/225.1.1.160:5002
CCTV-5,http://171.105.201.164:4022/rtp/239.81.0.232:4056
CCTV-5,http://171.213.133.3:9999/rtp/239.93.42.37:5140
CCTV-5,http://114.246.102.14:4000/rtp/239.3.1.173:8001
CCTV-5,http://27.11.56.206:8007/rtp/225.0.4.143:7980
CCTV-5,http://171.116.35.81:8003/rtp/226.0.2.209:9584
CCTV-5+,http://60.7.56.33:4000/rtp/239.253.92.82:8013$1920x1080
CCTV-5+,http://sweetown.fun:4000/rtp/239.3.1.130:8004$1920x1080
CCTV-5+,http://111.193.230.4:4022/rtp/239.3.1.130:8004
CCTV-5+,http://115.60.241.249:2000/rtp/225.1.4.75:1104
CCTV-5+,http://118.81.48.104:8082/rtp/226.0.2.168:9256
CCTV-5+,http://27.10.76.34:8001/rtp/225.0.4.73:7980
CCTV-5+,http://27.10.76.34:8006/rtp/225.0.4.73:7980
CCTV-5+,http://27.10.74.78:8005/rtp/225.0.4.73:7980
CCTV-5+,http://111.165.222.109:8000/rtp/225.1.1.121:5002
CCTV-5+,http://171.105.201.164:4022/rtp/239.81.0.101:4056
CCTV-5+,http://171.213.133.3:9999/rtp/239.93.1.36:8004
CCTV-5+,http://114.246.102.14:4000/rtp/239.3.1.130:8004
CCTV-5+,http://27.11.56.206:8007/rtp/225.0.4.73:7980
CCTV-5+,http://171.116.35.81:8003/rtp/226.0.2.168:9256
CCTV-5+,http://27.11.56.206:8002/rtp/225.0.4.73:7980
CCTV-6,http://60.7.56.33:4000/rtp/239.253.92.193:6058$1920x1080
CCTV-6,http://sweetown.fun:4000/rtp/239.3.1.174:8001$1920x1080
CCTV-6,http://111.193.230.4:4022/rtp/239.3.1.174:8001
CCTV-6,http://115.60.241.249:2000/rtp/225.1.4.160:1196
CCTV-6,http://118.81.48.104:8082/rtp/226.0.2.210:9592
CCTV-6,http://118.81.48.104:8082/rtp/226.0.2.23:8096
CCTV-6,http://27.10.76.34:8001/rtp/225.0.4.144:7980
CCTV-6,http://27.10.76.34:8006/rtp/225.0.4.144:7980
CCTV-6,http://27.10.74.78:8005/rtp/225.0.4.144:7980
CCTV-6,http://111.165.222.109:8000/rtp/225.1.1.195:5002
CCTV-6,http://171.105.201.164:4022/rtp/239.81.0.233:4056
CCTV-6,http://171.213.133.3:9999/rtp/239.93.1.13:2226
CCTV-6,http://114.246.102.14:4000/rtp/239.3.1.174:8001
CCTV-6,http://27.11.56.206:8007/rtp/225.0.4.144:7980
CCTV-6,http://171.116.35.81:8003/rtp/226.0.2.210:9592
CCTV-7,http://60.7.56.33:4000/rtp/239.253.92.194:6059$1920x1080
CCTV-7,http://sweetown.fun:4000/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://111.193.230.4:4022/rtp/239.3.1.61:8104
CCTV-7,http://115.60.241.249:2000/rtp/225.1.4.76:1105
CCTV-7,http://115.60.241.249:2000/rtp/225.1.4.7:1036
CCTV-7,http://118.81.48.104:8082/rtp/226.0.2.159:9184
CCTV-7,http://118.81.48.104:8082/rtp/226.0.2.24:8104
CCTV-7,http://27.10.76.34:8001/rtp/225.0.4.127:7980
CCTV-7,http://27.10.76.34:8006/rtp/225.0.4.127:7980
CCTV-7,http://27.10.74.78:8005/rtp/225.0.4.127:7980
CCTV-7,http://111.165.222.109:8000/rtp/225.1.1.138:5002
CCTV-7,http://171.105.201.164:4022/rtp/239.81.0.19:4056
CCTV-7,http://171.213.133.3:9999/rtp/239.93.1.67:5140
CCTV-7,http://114.246.102.14:4000/rtp/239.3.1.61:8104
CCTV-7,http://27.11.56.206:8007/rtp/225.0.4.127:7980
CCTV-8,http://60.7.56.33:4000/rtp/239.253.92.195:6060$1920x1080
CCTV-8,http://sweetown.fun:4000/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://111.193.230.4:4022/rtp/239.3.1.175:8001
CCTV-8,http://115.60.241.249:2000/rtp/225.1.4.161:1197
CCTV-8,http://118.81.48.104:8082/rtp/226.0.2.211:9600
CCTV-8,http://118.81.48.104:8082/rtp/226.0.2.25:8112
CCTV-8,http://27.10.76.34:8001/rtp/225.0.4.137:7980
CCTV-8,http://27.10.76.34:8006/rtp/225.0.4.137:7980
CCTV-8,http://27.10.74.78:8005/rtp/225.0.4.137:7980
CCTV-8,http://111.165.222.109:8000/rtp/225.1.1.196:5002
CCTV-8,http://171.105.201.164:4022/rtp/239.81.0.234:4056
CCTV-8,http://171.213.133.3:9999/rtp/239.93.42.39:5140
CCTV-8,http://114.246.102.14:4000/rtp/239.3.1.175:8001
CCTV-8,http://27.11.56.206:8007/rtp/225.0.4.137:7980
CCTV-8,http://171.116.35.81:8003/rtp/226.0.2.211:9600
CCTV-9,http://60.7.56.33:4000/rtp/239.253.92.107:6020$1920x1080
CCTV-9,http://sweetown.fun:4000/rtp/239.3.1.62:8112$1920x1080
CCTV-9,http://111.193.230.4:4022/rtp/239.3.1.62:8112
CCTV-9,http://115.60.241.249:2000/rtp/225.1.4.77:1106
CCTV-9,http://115.60.241.249:2000/rtp/225.1.4.9:1038
CCTV-9,http://118.81.48.104:8082/rtp/226.0.2.161:9200
CCTV-9,http://118.81.48.104:8082/rtp/226.0.2.26:8120
CCTV-9,http://27.10.76.34:8001/rtp/225.0.4.131:7980
CCTV-9,http://27.10.76.34:8006/rtp/225.0.4.131:7980
CCTV-9,http://27.10.74.78:8005/rtp/225.0.4.131:7980
CCTV-9,http://111.165.222.109:8000/rtp/225.1.1.119:5002
CCTV-9,http://171.105.201.164:4022/rtp/239.81.0.21:4056
